iter	MultiClass
0	1.065320923
1	1.037367377
2	1.012836237
3	0.9946721629
4	0.9777871874
5	0.9626887281
6	0.9475059703
7	0.9347973623
8	0.923302751
9	0.9141344103
10	0.9062649055
11	0.8979465622
12	0.8924562308
13	0.8861831436
14	0.8806697329
15	0.8756776969
16	0.8719880486
17	0.8676948792
18	0.8628206759
19	0.8594465561
20	0.8554738704
21	0.8522611267
22	0.8495546271
23	0.8471363375
24	0.8451033444
25	0.8430432512
26	0.8413255362
27	0.8390664703
28	0.8372786848
29	0.8352992507
30	0.8338082993
31	0.8313233141
32	0.8297174657
33	0.8283556124
34	0.8271098373
35	0.8259490333
36	0.8241484475
37	0.8231306379
38	0.8218892166
39	0.8208518392
40	0.8192776276
41	0.8182270622
42	0.8168114324
43	0.8156338709
44	0.8143978373
45	0.8135369484
46	0.8128849762
47	0.8123723791
48	0.8115461567
49	0.8106820065
50	0.8098249231
51	0.8092682526
52	0.8081478143
53	0.8077949327
54	0.8069289142
55	0.806247506
56	0.8054772238
57	0.8049134433
58	0.8045709713
59	0.8041181422
60	0.8035689629
61	0.8031849245
62	0.8023675649
63	0.8014060035
64	0.8010676882
65	0.8007485385
66	0.7994622331
67	0.7991547055
68	0.7984427025
69	0.7980713247
70	0.7973401594
71	0.7969201631
72	0.7959923036
73	0.7957983655
74	0.7954784802
75	0.7944793066
76	0.7938038316
77	0.7930894204
78	0.7916430946
79	0.7905298123
80	0.7899013811
81	0.7892780444
82	0.7886546051
83	0.7878370096
84	0.787317929
85	0.7865903696
86	0.7857810322
87	0.7851597304
88	0.7838491699
89	0.7832228438
90	0.7822914284
91	0.7818871156
92	0.7814833822
93	0.7811698984
94	0.7806346636
95	0.7801537621
96	0.7786660771
97	0.7783512271
98	0.7779637754
99	0.7769983244
100	0.7765791968
101	0.7759616011
102	0.7754099569
103	0.7748708666
104	0.774169487
105	0.7731403293
106	0.7728882261
107	0.772053629
108	0.7711097824
109	0.7704855237
110	0.7702437216
111	0.7695856855
112	0.769191073
113	0.7689536266
114	0.7685090187
115	0.7679586375
116	0.7673796561
117	0.7665102817
118	0.7655736352
119	0.7653089203
120	0.7650998249
121	0.7639881368
122	0.7636824647
123	0.7628152532
124	0.7621941679
125	0.7616774412
126	0.7613141294
127	0.7609084557
128	0.7602567087
129	0.7593458204
130	0.7581558939
131	0.7578815337
132	0.7576415672
133	0.7570565948
134	0.7567868583
135	0.7565281558
136	0.7557896774
137	0.7550002071
138	0.7545053348
139	0.7540970052
140	0.7535707914
141	0.7529454845
142	0.7522415698
143	0.751358211
144	0.7499214405
145	0.7489346844
146	0.7481351106
147	0.7474792858
