iter	MultiClass
0	1.065818215
1	1.039105478
2	1.017793553
3	1.000780388
4	0.9836943322
5	0.968490748
6	0.9561194428
7	0.9432836242
8	0.9346365694
9	0.9248400408
10	0.916671967
11	0.9080413857
12	0.9030426712
13	0.8963718524
14	0.8909265472
15	0.8843211717
16	0.8804427866
17	0.8763585854
18	0.8721155302
19	0.8682554989
20	0.8645067814
21	0.8614954563
22	0.859237995
23	0.8575260499
24	0.8546418101
25	0.8531486545
26	0.8506980138
27	0.8491583513
28	0.8466062024
29	0.8448151768
30	0.8432999122
31	0.8419754201
32	0.8407965172
33	0.8392436355
34	0.8380214343
35	0.8358404918
36	0.8346076743
37	0.8331518632
38	0.8318862094
39	0.8312126528
40	0.8303653692
41	0.8293843811
42	0.8283233396
43	0.8277608693
44	0.8262204659
45	0.8249637473
46	0.8235098917
47	0.8221247953
48	0.8211971044
49	0.8204195757
50	0.8192560778
51	0.8185971557
52	0.8177590386
53	0.8170866677
54	0.8163702269
55	0.8159228935
56	0.8152726082
57	0.8143947296
58	0.8136354896
59	0.8127099522
60	0.8121011882
61	0.8115763382
62	0.8109053262
63	0.8099854233
64	0.8092525238
65	0.808646304
66	0.8083630994
67	0.8073154511
68	0.8065337714
69	0.8058640398
70	0.8049639509
71	0.8042506594
72	0.8039517264
73	0.8031841021
74	0.8026988169
75	0.8019989739
76	0.8012029051
77	0.8006018169
78	0.8001280047
79	0.7988664483
80	0.7983149515
81	0.7981101756
82	0.7976611205
83	0.7964993989
84	0.7956145827
85	0.7952545494
86	0.7941960043
87	0.7930661954
88	0.7922284191
89	0.7918038753
90	0.7913792069
91	0.7908337427
92	0.7906746763
93	0.790300199
94	0.7894373267
95	0.7889635143
96	0.7885098978
97	0.7876193312
98	0.7865487095
99	0.7858828045
100	0.7851660127
101	0.7841402247
102	0.7832178362
103	0.7828091429
104	0.7824326314
105	0.7818752474
106	0.7814182742
107	0.7811487297
108	0.7802715142
109	0.7799006245
110	0.7796226287
111	0.7791932069
112	0.7779299126
113	0.7772484459
114	0.7759680887
115	0.7751831605
116	0.7746259947
117	0.7741033322
118	0.7733838282
119	0.7728179193
120	0.7721661945
121	0.7714987232
122	0.7704653574
123	0.7697457282
124	0.769612382
125	0.7687809363
126	0.7684950953
127	0.7679701642
128	0.7668627588
129	0.7664960826
130	0.7655692739
131	0.7651384843
132	0.7641802805
133	0.7636970626
134	0.7634727061
135	0.7623674486
136	0.7621025872
137	0.7613295946
138	0.760990623
139	0.7607005167
140	0.7596994114
141	0.7586308133
142	0.7579484082
143	0.7572752751
144	0.7563256287
145	0.7561819233
146	0.7551588025
147	0.7546923878
148	0.7542920481
149	0.7532181659
150	0.7522838373
151	0.7510850267
152	0.7498334792
153	0.7488551356
154	0.7479667713
155	0.7473673092
156	0.7467478934
157	0.7460241715
158	0.745546166
159	0.744476511
160	0.7441999467
161	0.7436761475
162	0.7432740567
163	0.7429100025
164	0.7419938465
165	0.741290576
166	0.7406189154
167	0.7401263697
168	0.7398404452
169	0.7394854391
170	0.7389502094
171	0.7379617875
172	0.7367859867
173	0.7363542955
174	0.7353190879
175	0.7348922753
176	0.7345436445
177	0.7337607673
178	0.733391699
179	0.7329051773
180	0.7318740009
181	0.7317157307
182	0.7313829842
183	0.7309206745
184	0.7302395487
185	0.72949894
186	0.7283635962
187	0.7275437804
188	0.7273224012
189	0.72665311
190	0.7261610331
191	0.7254912304
192	0.7250265119
193	0.7246925854
194	0.7242888498
195	0.723411628
196	0.7227444394
197	0.7222899265
198	0.7217958094
199	0.7213174906
200	0.7209593353
201	0.7200629973
202	0.7193258865
203	0.7187146749
204	0.7179726831
205	0.716735097
206	0.7159834206
207	0.7152305239
208	0.7146927285
209	0.7142656494
210	0.7133508558
211	0.7128778559
